Job ID,Completion Time,Times Migrated,Times Restarted
721,50402,0,6
732,57600,0,3
733,39601,0,4
735,39608,0,4
729,71994,0,10
736,32400,0,5
731,59448,0,6
741,14400,0,2
734,75593,0,7
742,28808,0,2
737,57593,0,8
745,14407,0,2
744,44999,0,7
746,39607,0,2
748,37808,0,7
749,21600,0,3
750,68394,0,7
752,28808,0,5
